order_number,type,question_text,score_weight,explanation,stimulus_key,stimulus_title,stimulus_type,stimulus_content,option_a,option_b,option_c,option_d,option_e,correct_answer,statement_positive_label,statement_negative_label,statement_rows,is_active
1,multiple_choice,Kenampakan alam yang berupa daratan rendah di tepi laut disebut ...,10,Wilayah ini biasanya berada di dekat pertemuan darat dan laut.,WIL01,Teks kenampakan wilayah,text,Perhatikan beberapa contoh wilayah di Indonesia untuk menjawab soal nomor 1 dan 2.,Dataran tinggi,Pantai,Gunung,Sungai,,B,,,,1
2,multiple_choice_complex,Pilih semua kegiatan ekonomi yang termasuk bidang agraris.,10,Agraris berhubungan dengan pengolahan tanah dan hasil pertanian.,WIL01,Teks kenampakan wilayah,text,Perhatikan beberapa contoh wilayah di Indonesia untuk menjawab soal nomor 1 dan 2.,Bercocok tanam,Berkebun,Beternak ikan laut,Membuat sepatu,,A|B,,,,1
3,multiple_choice,Salah satu manfaat bendungan bagi masyarakat adalah ...,10,Bendungan membantu menampung air untuk berbagai kebutuhan.,,,,,Mengurangi hasil panen,Menyediakan air irigasi,Membuat tanah menjadi tandus,Menghambat aliran listrik,,B,,,,1
4,true_false,Kerja bakti membersihkan selokan merupakan contoh interaksi sosial yang baik di lingkungan masyarakat.,5,Kegiatan bersama yang bermanfaat termasuk interaksi sosial positif.,,,,,,,,,,Benar,,,,1
5,multiple_choice,Kegiatan menjual hasil kerajinan termasuk jenis usaha di bidang ...,10,Perdagangan berkaitan dengan kegiatan jual beli barang.,,,,,Pertanian,Perdagangan,Perikanan,Pertambangan,,B,,,,1
6,true_false_group,Tentukan Tepat atau Tidak Tepat untuk setiap pernyataan tentang koperasi.,15,Koperasi dibentuk untuk kesejahteraan bersama.,,,,,,,,,,,Tepat,Tidak Tepat,"Koperasi berasaskan kekeluargaan::1 | Keuntungan koperasi hanya untuk ketua::0 | Anggota koperasi dapat ikut rapat::1",1
7,multiple_choice,"Jika penduduk desa banyak bekerja sebagai nelayan, wilayah desa tersebut kemungkinan berada di dekat ...",10,Mata pencaharian nelayan erat kaitannya dengan wilayah perairan laut.,,,,,Pegunungan,Pantai,Perkebunan,Hutan,,B,,,,1
8,multiple_choice_complex,Pilih semua contoh sikap menjaga persatuan di sekolah.,10,Persatuan dibangun lewat kerja sama dan saling menghargai.,,,,,Belajar kelompok dengan teman yang berbeda suku,Mengejek teman karena logatnya,Ikut piket bersama,Mau bermusyawarah saat ada masalah,,A|C|D,,,,1
9,essay,Sebutkan dua manfaat musyawarah dalam kehidupan bermasyarakat.,20,Jawaban esai dinilai admin berdasarkan kelengkapan isi.,,,,,,,,,,,,,,1
10,multiple_choice,"Upacara adat, rumah adat, dan tarian daerah merupakan contoh ...",10,Semua itu termasuk hasil budaya daerah.,,,,,Sumber daya alam,Kegiatan ekonomi,Keragaman budaya,Kenampakan buatan,,C,,,,1
